ID,PANEL_NAME,TEST_NAME,"Comp_FLAG
(H = positive result / 0 = negative result)","Screen_FLAG 
(H = positive result / 0 = negative result / blank = not tested)","Confirm_FLAG 
(H = positive result / 0 = negative result / blank = not tested)",COMP/EIA_Comparison,COMP/Confirm_Comparison,EIA/Confirm_Comparison
1,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
3,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
4,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
5,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
6,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
7,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
8,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
9,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
10,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
11,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
12,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
13,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
14,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
15,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
16,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
17,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
